ano,idade,sexo,area,total
2009,55 a 59 anos,Mulher,Rural,
2009,60 a 64 anos,Mulher,Rural,
2009,65 a 69 anos,Mulher,Rural,
2009,70 a 74 anos,Mulher,Rural,
2009,75 a 79 anos,Mulher,Rural,
2009,80 a 100 anos,Mulher,Rural,
2010,0 a 4 anos,Homem,Urbana,
2010,5 a 9 anos,Homem,Urbana,
2010,10 a 14 anos,Homem,Urbana,10
2010,15 a 19 anos,Homem,Urbana,
2010,20 a 24 anos,Homem,Urbana,
2010,25 a 29 anos,Homem,Urbana,10
2010,30 a 34 anos,Homem,Urbana,
2010,35 a 39 anos,Homem,Urbana,
2010,40 a 44 anos,Homem,Urbana,
2010,45 a 49 anos,Homem,Urbana,
2010,50 a 54 anos,Homem,Urbana,
2010,55 a 59 anos,Homem,Urbana,10
2010,60 a 64 anos,Homem,Urbana,
2010,65 a 69 anos,Homem,Urbana,
2010,70 a 74 anos,Homem,Urbana,
2010,75 a 79 anos,Homem,Urbana,
2010,80 a 100 anos,Homem,Urbana,
