ano,idade,sexo,nascimento
2009,47 anos,Homem,
2009,48 anos,Homem,
2009,49 anos,Homem,
2009,50 anos ou mais,Homem,
2009,Ignorada,Homem,1
2009,Menos de 15 anos,Mulher,6
2009,15 a 19 anos,Mulher,63
2009,15 anos,Mulher,8
2009,16 anos,Mulher,9
2009,17 anos,Mulher,8
2009,18 anos,Mulher,22
2009,19 anos,Mulher,16
2009,20 a 24 anos,Mulher,109
2009,20 anos,Mulher,21
2009,21 anos,Mulher,29
2009,22 anos,Mulher,16
2009,23 anos,Mulher,29
2009,24 anos,Mulher,14
2009,25 a 29 anos,Mulher,56
2009,25 anos,Mulher,9
2009,26 anos,Mulher,15
2009,27 anos,Mulher,10
2009,28 anos,Mulher,14
2009,29 anos,Mulher,8
2009,30 a 34 anos,Mulher,34
2009,30 anos,Mulher,11
2009,31 anos,Mulher,7
2009,32 anos,Mulher,8
2009,33 anos,Mulher,4
2009,34 anos,Mulher,4
2009,35 a 39 anos,Mulher,16
2009,35 anos,Mulher,4
2009,36 anos,Mulher,1
2009,37 anos,Mulher,4
2009,38 anos,Mulher,5
2009,39 anos,Mulher,2
2009,40 a 44 anos,Mulher,9
2009,40 anos,Mulher,1
2009,41 anos,Mulher,2
2009,42 anos,Mulher,2
2009,43 anos,Mulher,3
2009,44 anos,Mulher,1
2009,45 a 49 anos,Mulher,
2009,45 anos,Mulher,
2009,46 anos,Mulher,
2009,47 anos,Mulher,
2009,48 anos,Mulher,
2009,49 anos,Mulher,
2009,50 anos ou mais,Mulher,
2009,Ignorada,Mulher,
2010,Menos de 15 anos,Homem,3
2010,15 a 19 anos,Homem,58
2010,15 anos,Homem,7
2010,16 anos,Homem,12
2010,17 anos,Homem,15
2010,18 anos,Homem,13
2010,19 anos,Homem,11
2010,20 a 24 anos,Homem,76
2010,20 anos,Homem,17
2010,21 anos,Homem,12
2010,22 anos,Homem,15
2010,23 anos,Homem,19
2010,24 anos,Homem,13
2010,25 a 29 anos,Homem,57
2010,25 anos,Homem,14
2010,26 anos,Homem,11
2010,27 anos,Homem,14
2010,28 anos,Homem,8
2010,29 anos,Homem,10
2010,30 a 34 anos,Homem,35
2010,30 anos,Homem,9
2010,31 anos,Homem,7
2010,32 anos,Homem,7
2010,33 anos,Homem,9
2010,34 anos,Homem,3
2010,35 a 39 anos,Homem,16
2010,35 anos,Homem,7
2010,36 anos,Homem,3
2010,37 anos,Homem,2
2010,38 anos,Homem,3
2010,39 anos,Homem,1
2010,40 a 44 anos,Homem,6
2010,40 anos,Homem,
2010,41 anos,Homem,2
2010,42 anos,Homem,
2010,43 anos,Homem,4
2010,44 anos,Homem,
2010,45 a 49 anos,Homem,
2010,45 anos,Homem,
2010,46 anos,Homem,
2010,47 anos,Homem,
2010,48 anos,Homem,
2010,49 anos,Homem,
2010,50 anos ou mais,Homem,
2010,Ignorada,Homem,4
2010,Menos de 15 anos,Mulher,1
2010,15 a 19 anos,Mulher,59
2010,15 anos,Mulher,9
