ano,idade,sexo,total
2005,7 a 27 dias,Mulher,
2005,7 a 13 dias,Mulher,
2005,14 a 20 dias,Mulher,
2005,21 a 27 dias,Mulher,
2005,28 a 364 dias,Mulher,2
2005,28 a 59 dias,Mulher,
2005,60 a 364 dias,Mulher,2
2005,2 meses,Mulher,1
2005,3 meses,Mulher,1
2005,4 meses,Mulher,
2005,5 meses,Mulher,
2005,6 meses,Mulher,
2005,7 meses,Mulher,
2005,8 meses,Mulher,
2005,9 meses,Mulher,
2005,10 meses,Mulher,
2005,11 meses,Mulher,
2005,1 a 14 anos,Mulher,1
2005,1 a 4 anos,Mulher,
2005,1 ano,Mulher,
2005,2 anos,Mulher,
2005,3 anos,Mulher,
2005,4 anos,Mulher,
2005,5 a 9 anos,Mulher,1
2005,5 anos,Mulher,1
2005,6 anos,Mulher,
2005,7 anos,Mulher,
2005,8 anos,Mulher,
2005,9 anos,Mulher,
2005,10 a 14 anos,Mulher,
2005,10 anos,Mulher,
2005,11 anos,Mulher,
2005,12 anos,Mulher,
2005,13 anos,Mulher,
2005,14 anos,Mulher,
2005,15 a 84 anos,Mulher,26
2005,15 a 19 anos,Mulher,
2005,20 a 24 anos,Mulher,
2005,25 a 29 anos,Mulher,1
2005,30 a 34 anos,Mulher,
2005,35 a 39 anos,Mulher,
2005,40 a 44 anos,Mulher,2
2005,45 a 49 anos,Mulher,2
2005,50 a 54 anos,Mulher,4
2005,55 a 59 anos,Mulher,5
2005,60 a 64 anos,Mulher,4
2005,65 a 69 anos,Mulher,3
2005,70 a 74 anos,Mulher,1
2005,75 a 79 anos,Mulher,2
2005,80 a 84 anos,Mulher,2
2005,85 anos ou mais,Mulher,13
2005,85 a 89 anos,Mulher,5
2005,85 anos,Mulher,1
2005,86 anos,Mulher,1
2005,87 anos,Mulher,
2005,88 anos,Mulher,1
2005,89 anos,Mulher,2
2005,90 a 94 anos,Mulher,6
2005,90 anos,Mulher,1
2005,91 anos,Mulher,1
2005,92 anos,Mulher,2
2005,93 anos,Mulher,1
2005,94 anos,Mulher,1
2005,95 a 99 anos,Mulher,2
2005,95 anos,Mulher,
2005,96 anos,Mulher,
2005,97 anos,Mulher,2
2005,98 anos,Mulher,
2005,99 anos,Mulher,
2005,100 anos ou mais,Mulher,
2005,Idade ignorada,Mulher,
2006,Menos de 1 ano,Homem,5
2006,Menos de 7 dias,Homem,3
2006,Menos de 1 dia,Homem,1
2006,1 dia,Homem,1
2006,2 dias,Homem,
2006,3 dias,Homem,1
2006,4 dias,Homem,
2006,5 dias,Homem,
2006,6 dias,Homem,
2006,7 a 27 dias,Homem,1
2006,7 a 13 dias,Homem,
2006,14 a 20 dias,Homem,1
2006,21 a 27 dias,Homem,
2006,28 a 364 dias,Homem,1
2006,28 a 59 dias,Homem,
2006,60 a 364 dias,Homem,1
2006,2 meses,Homem,
2006,3 meses,Homem,
2006,4 meses,Homem,
2006,5 meses,Homem,
2006,6 meses,Homem,
2006,7 meses,Homem,
2006,8 meses,Homem,
2006,9 meses,Homem,
2006,10 meses,Homem,
2006,11 meses,Homem,1
2006,1 a 14 anos,Homem,3
2006,1 a 4 anos,Homem,3
2006,1 ano,Homem,1
2006,2 anos,Homem,2
2006,3 anos,Homem,
2006,4 anos,Homem,
2006,5 a 9 anos,Homem,
2006,5 anos,Homem,
2006,6 anos,Homem,
2006,7 anos,Homem,
2006,8 anos,Homem,
2006,9 anos,Homem,
2006,10 a 14 anos,Homem,
2006,10 anos,Homem,
2006,11 anos,Homem,
2006,12 anos,Homem,
2006,13 anos,Homem,
2006,14 anos,Homem,
2006,15 a 84 anos,Homem,52
2006,15 a 19 anos,Homem,3
2006,20 a 24 anos,Homem,6
2006,25 a 29 anos,Homem,5
2006,30 a 34 anos,Homem,3
2006,35 a 39 anos,Homem,1
2006,40 a 44 anos,Homem,2
2006,45 a 49 anos,Homem,5
2006,50 a 54 anos,Homem,3
2006,55 a 59 anos,Homem,3
2006,60 a 64 anos,Homem,2
2006,65 a 69 anos,Homem,7
2006,70 a 74 anos,Homem,4
2006,75 a 79 anos,Homem,3
2006,80 a 84 anos,Homem,5
2006,85 anos ou mais,Homem,15
2006,85 a 89 anos,Homem,7
2006,85 anos,Homem,2
2006,86 anos,Homem,4
2006,87 anos,Homem,1
2006,88 anos,Homem,
2006,89 anos,Homem,
2006,90 a 94 anos,Homem,4
2006,90 anos,Homem,2
2006,91 anos,Homem,
2006,92 anos,Homem,1
2006,93 anos,Homem,
2006,94 anos,Homem,1
2006,95 a 99 anos,Homem,3
2006,95 anos,Homem,
2006,96 anos,Homem,1
2006,97 anos,Homem,1
2006,98 anos,Homem,
2006,99 anos,Homem,1
2006,100 anos ou mais,Homem,1
2006,Idade ignorada,Homem,
2006,Menos de 1 ano,Mulher,5
2006,Menos de 7 dias,Mulher,5
2006,Menos de 1 dia,Mulher,2
2006,1 dia,Mulher,
2006,2 dias,Mulher,3
2006,3 dias,Mulher,
2006,4 dias,Mulher,
2006,5 dias,Mulher,
2006,6 dias,Mulher,
2006,7 a 27 dias,Mulher,
2006,7 a 13 dias,Mulher,
