ano,idade,sexo,area,pop
1980,30 a 34 anos,Mulher,Urbana,274
1980,35 a 39 anos,Mulher,Urbana,268
1980,40 a 44 anos,Mulher,Urbana,202
1980,45 a 49 anos,Mulher,Urbana,140
1980,50 a 54 anos,Mulher,Urbana,159
1980,55 a 59 anos,Mulher,Urbana,80
1980,60 a 64 anos,Mulher,Urbana,91
1980,65 a 69 anos,Mulher,Urbana,102
1980,70 a 74 anos,Mulher,Urbana,54
1980,75 a 79 anos,Mulher,Urbana,32
1980,80 anos ou mais,Mulher,Urbana,31
1980,80 a 84 anos,Mulher,Urbana,
1980,85 a 89 anos,Mulher,Urbana,
1980,90 a 94 anos,Mulher,Urbana,
1980,95 a 99 anos,Mulher,Urbana,
1980,100 anos ou mais,Mulher,Urbana,
1980,Idade ignorada,Mulher,Urbana,20
1980,0 a 4 anos,Mulher,Rural,1181
1980,Menos de 1 ano,Mulher,Rural,
1980,0 ano,Mulher,Rural,259
1980,1 ano,Mulher,Rural,189
1980,2 anos,Mulher,Rural,231
1980,3 anos,Mulher,Rural,235
1980,4 anos,Mulher,Rural,267
1980,5 a 9 anos,Mulher,Rural,993
1980,5 anos,Mulher,Rural,187
1980,6 anos,Mulher,Rural,184
1980,7 anos,Mulher,Rural,234
1980,8 anos,Mulher,Rural,194
1980,9 anos,Mulher,Rural,194
1980,10 a 14 anos,Mulher,Rural,804
1980,10 anos,Mulher,Rural,159
1980,11 anos,Mulher,Rural,186
1980,12 anos,Mulher,Rural,165
1980,13 anos,Mulher,Rural,159
1980,14 anos,Mulher,Rural,135
1980,15 a 19 anos,Mulher,Rural,584
1980,15 anos,Mulher,Rural,143
1980,16 anos,Mulher,Rural,140
1980,17 anos,Mulher,Rural,141
1980,18 anos,Mulher,Rural,85
1980,19 anos,Mulher,Rural,75
1980,20 a 24 anos,Mulher,Rural,442
1980,20 anos,Mulher,Rural,
1980,21 anos,Mulher,Rural,
1980,22 anos,Mulher,Rural,
1980,23 anos,Mulher,Rural,
1980,24 anos,Mulher,Rural,
1980,25 a 29 anos,Mulher,Rural,352
1980,30 a 34 anos,Mulher,Rural,302
1980,35 a 39 anos,Mulher,Rural,280
1980,40 a 44 anos,Mulher,Rural,243
1980,45 a 49 anos,Mulher,Rural,239
1980,50 a 54 anos,Mulher,Rural,150
1980,55 a 59 anos,Mulher,Rural,202
1980,60 a 64 anos,Mulher,Rural,153
1980,65 a 69 anos,Mulher,Rural,187
1980,70 a 74 anos,Mulher,Rural,96
1980,75 a 79 anos,Mulher,Rural,60
1980,80 anos ou mais,Mulher,Rural,70
1980,80 a 84 anos,Mulher,Rural,
1980,85 a 89 anos,Mulher,Rural,
1980,90 a 94 anos,Mulher,Rural,
1980,95 a 99 anos,Mulher,Rural,
1980,100 anos ou mais,Mulher,Rural,
1980,Idade ignorada,Mulher,Rural,7
1990,0 a 4 anos,Homem,Urbana,1074
1990,Menos de 1 ano,Homem,Urbana,
1990,0 ano,Homem,Urbana,221
1990,1 ano,Homem,Urbana,180
1990,2 anos,Homem,Urbana,222
1990,3 anos,Homem,Urbana,207
1990,4 anos,Homem,Urbana,244
1990,5 a 9 anos,Homem,Urbana,1260
1990,5 anos,Homem,Urbana,239
1990,6 anos,Homem,Urbana,252
1990,7 anos,Homem,Urbana,262
1990,8 anos,Homem,Urbana,253
1990,9 anos,Homem,Urbana,254
1990,10 a 14 anos,Homem,Urbana,1192
1990,10 anos,Homem,Urbana,269
1990,11 anos,Homem,Urbana,234
1990,12 anos,Homem,Urbana,227
1990,13 anos,Homem,Urbana,254
1990,14 anos,Homem,Urbana,208
1990,15 a 19 anos,Homem,Urbana,1017
1990,15 anos,Homem,Urbana,218
1990,16 anos,Homem,Urbana,230
1990,17 anos,Homem,Urbana,195
1990,18 anos,Homem,Urbana,199
1990,19 anos,Homem,Urbana,175
1990,20 a 24 anos,Homem,Urbana,756
1990,20 anos,Homem,Urbana,
1990,21 anos,Homem,Urbana,
1990,22 anos,Homem,Urbana,
1990,23 anos,Homem,Urbana,
1990,24 anos,Homem,Urbana,
1990,25 a 29 anos,Homem,Urbana,562
1990,30 a 34 anos,Homem,Urbana,473
1990,35 a 39 anos,Homem,Urbana,414
1990,40 a 44 anos,Homem,Urbana,356
1990,45 a 49 anos,Homem,Urbana,233
1990,50 a 54 anos,Homem,Urbana,212
1990,55 a 59 anos,Homem,Urbana,161
1990,60 a 64 anos,Homem,Urbana,130
1990,65 a 69 anos,Homem,Urbana,132
1990,70 a 74 anos,Homem,Urbana,73
1990,75 a 79 anos,Homem,Urbana,70
1990,80 anos ou mais,Homem,Urbana,77
1990,80 a 84 anos,Homem,Urbana,
1990,85 a 89 anos,Homem,Urbana,
1990,90 a 94 anos,Homem,Urbana,
1990,95 a 99 anos,Homem,Urbana,
